query,label,length,num_keywords,has_comment,num_quotes,num_semicolons,has_union,has_exec,has_sleep,injection_type
SELECT * FROM products WHERE id = 49;,safe,37,3,False,0,1,False,False,False,none
SELECT * FROM orders WHERE user_id = 46 AND status = 'shipped' OR '' = '';,injection,74,5,False,6,1,False,False,False,other
SELECT * FROM orders WHERE user_id = 3 AND status = 'shipped' OR '' = '';,injection,73,5,False,6,1,False,False,False,other
SELECT * FROM users WHERE username = 'carol'; DROP TABLE users; --,injection,66,4,True,2,2,False,False,False,data manipulation
SELECT email FROM customers WHERE customer_id = 25;,safe,51,3,False,0,1,False,False,False,none
SELECT * FROM users WHERE username = 'carol' AND password = '4356';,safe,67,4,False,4,1,False,False,False,none
SELECT * FROM users WHERE username = 'carol' AND password = '3411';,safe,67,4,False,4,1,False,False,False,none
SELECT * FROM orders WHERE user_id = 29 AND status = 'shipped' OR '' = '';,injection,74,5,False,6,1,False,False,False,other
"INSERT INTO logs (event, user_id) VALUES ('login', 48);",safe,55,1,False,2,1,False,False,False,none
SELECT * FROM customers WHERE email = 'bob' AND password = '1927'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,110,6,True,7,3,False,True,False,data manipulation
SELECT * FROM login WHERE username = 'carol' AND password = ''; EXEC xp_cmdshell('dir'); --,injection,91,5,True,6,2,False,True,False,code execution
SELECT * FROM customers WHERE email = 'carol' AND password = '4300'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,112,6,True,7,3,False,True,False,data manipulation
SELECT * FROM logs WHERE action = 'login' AND user_id = 26 OR (SELECT COUNT(*) FROM users) > 0; --,injection,98,7,True,2,1,False,False,False,other
SELECT * FROM logs WHERE action = 'login' AND user_id = 5 OR (SELECT COUNT(*) FROM users) > 0; --,injection,97,7,True,2,1,False,False,False,other
SELECT * FROM login WHERE username = 'guest' AND password = ''; EXEC xp_cmdshell('dir'); --,injection,91,5,True,6,2,False,True,False,code execution
SELECT * FROM login WHERE username = 'guest' AND password = ''; EXEC xp_cmdshell('dir'); --,injection,91,5,True,6,2,False,True,False,code execution
DELETE FROM sessions WHERE user_id = 19;,safe,40,3,False,0,1,False,False,False,none
UPDATE users SET last_login = NOW() WHERE id = 28;,safe,50,2,False,0,1,False,False,False,none
SELECT * FROM customers WHERE email = 'admin' AND password = '1508'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,112,6,True,7,3,False,True,False,data manipulation
UPDATE users SET last_login = NOW() WHERE id = 21;,safe,50,2,False,0,1,False,False,False,none
DELETE FROM temp_data WHERE created_at < NOW() - INTERVAL '7 days';,safe,67,3,False,2,1,False,False,False,none
SELECT * FROM products WHERE id = 8;,safe,36,3,False,0,1,False,False,False,none
"INSERT INTO logs (event, user_id) VALUES ('login', 3);",safe,54,1,False,2,1,False,False,False,none
SELECT * FROM logs WHERE action = 'login' AND user_id = 11 OR (SELECT COUNT(*) FROM users) > 0; --,injection,98,7,True,2,1,False,False,False,other
SELECT email FROM customers WHERE customer_id = 41;,safe,51,3,False,0,1,False,False,False,none
DELETE FROM sessions WHERE user_id = 25;,safe,40,3,False,0,1,False,False,False,none
SELECT * FROM users WHERE username = 'bob'; DROP TABLE users; --,injection,64,4,True,2,2,False,False,False,data manipulation
SELECT * FROM users WHERE username = 'alice' AND password = '5759' OR 'x'='x';,injection,78,5,False,8,1,False,False,False,other
UPDATE inventory SET stock = stock - 1 WHERE product_id = 30;,safe,61,2,False,0,1,False,False,False,none
"SELECT * FROM accounts WHERE account_name = '' OR 1=CONVERT(INT, (SELECT password FROM users WHERE username = 'admin')); --",injection,123,7,True,4,1,False,False,False,other
SELECT * FROM orders WHERE user_id = 13 AND status = 'shipped' OR '' = '';,injection,74,5,False,6,1,False,False,False,other
SELECT * FROM logs WHERE action = 'login' AND user_id = 27 OR (SELECT COUNT(*) FROM users) > 0; --,injection,98,7,True,2,1,False,False,False,other
SELECT * FROM employees WHERE department = 'engineering' OR EXISTS(SELECT * FROM admin);,injection,88,7,False,2,1,False,False,False,subquery
DELETE FROM sessions WHERE user_id = 41;,safe,40,3,False,0,1,False,False,False,none
"INSERT INTO logs (event, user_id) VALUES ('login', 50);",safe,55,1,False,2,1,False,False,False,none
SELECT * FROM login WHERE username = 'bob' AND password = ''; EXEC xp_cmdshell('dir'); --,injection,89,5,True,6,2,False,True,False,code execution
SELECT * FROM login WHERE username = 'guest' AND password = ''; EXEC xp_cmdshell('dir'); --,injection,91,5,True,6,2,False,True,False,code execution
UPDATE inventory SET stock = stock - 1 WHERE product_id = 24;,safe,61,2,False,0,1,False,False,False,none
SELECT * FROM products WHERE id = 39;,safe,37,3,False,0,1,False,False,False,none
DELETE FROM temp_data WHERE created_at < NOW() - INTERVAL '7 days';,safe,67,3,False,2,1,False,False,False,none
SELECT * FROM employees WHERE department = 'hr';,safe,48,3,False,2,1,False,False,False,none
SELECT * FROM users WHERE username = 'admin' AND password = '2738' OR 'x'='x';,injection,78,5,False,8,1,False,False,False,other
DELETE FROM temp_data WHERE created_at < NOW() - INTERVAL '7 days';,safe,67,3,False,2,1,False,False,False,none
SELECT * FROM users WHERE username = 'bob' AND password = '1888' OR 'x'='x';,injection,76,5,False,8,1,False,False,False,other
DELETE FROM temp_data WHERE created_at < NOW() - INTERVAL '7 days';,safe,67,3,False,2,1,False,False,False,none
UPDATE inventory SET stock = stock - 1 WHERE product_id = 26;,safe,61,2,False,0,1,False,False,False,none
SELECT * FROM employees WHERE department = 'marketing';,safe,55,3,False,2,1,False,False,False,none
SELECT email FROM customers WHERE customer_id = 50;,safe,51,3,False,0,1,False,False,False,none
SELECT * FROM customers WHERE email = 'carol' AND password = '1749'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,112,6,True,7,3,False,True,False,data manipulation
UPDATE inventory SET stock = stock - 1 WHERE product_id = 67;,safe,61,2,False,0,1,False,False,False,none
SELECT * FROM orders WHERE user_id = 20 AND status = 'shipped' OR '' = '';,injection,74,5,False,6,1,False,False,False,other
SELECT COUNT(*) FROM orders WHERE product_id = 87;,safe,50,3,False,0,1,False,False,False,none
"SELECT * FROM accounts WHERE account_name = '' OR 1=CONVERT(INT, (SELECT password FROM users WHERE username = 'admin')); --",injection,123,7,True,4,1,False,False,False,other
SELECT * FROM products WHERE id = 45;,safe,37,3,False,0,1,False,False,False,none
SELECT * FROM customers WHERE email = 'alice' AND password = '2627'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,112,6,True,7,3,False,True,False,data manipulation
SELECT * FROM products WHERE id = 29;,safe,37,3,False,0,1,False,False,False,none
UPDATE inventory SET stock = stock - 1 WHERE product_id = 1;,safe,60,2,False,0,1,False,False,False,none
"INSERT INTO logs (event, user_id) VALUES ('login', 20);",safe,55,1,False,2,1,False,False,False,none
SELECT * FROM customers WHERE email = 'alice' AND password = '3714'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,112,6,True,7,3,False,True,False,data manipulation
"SELECT * FROM accounts WHERE account_name = '' OR 1=CONVERT(INT, (SELECT password FROM users WHERE username = 'admin')); --",injection,123,7,True,4,1,False,False,False,other
SELECT * FROM employees WHERE department = 'support';,safe,53,3,False,2,1,False,False,False,none
DELETE FROM sessions WHERE user_id = 25;,safe,40,3,False,0,1,False,False,False,none
SELECT * FROM login WHERE username = 'admin' AND password = ''; EXEC xp_cmdshell('dir'); --,injection,91,5,True,6,2,False,True,False,code execution
SELECT COUNT(*) FROM orders WHERE product_id = 26;,safe,50,3,False,0,1,False,False,False,none
"SELECT * FROM accounts WHERE account_name = '' OR 1=CONVERT(INT, (SELECT password FROM users WHERE username = 'admin')); --",injection,123,7,True,4,1,False,False,False,other
SELECT * FROM login WHERE username = 'guest' AND password = ''; EXEC xp_cmdshell('dir'); --,injection,91,5,True,6,2,False,True,False,code execution
SELECT * FROM products WHERE id = 47;,safe,37,3,False,0,1,False,False,False,none
SELECT * FROM users WHERE username = 'guest' AND password = '3518' OR 'x'='x';,injection,78,5,False,8,1,False,False,False,other
SELECT * FROM sessions WHERE session_id = 'bob'; WAITFOR DELAY '00:00:05'; --,injection,77,4,True,4,2,False,False,True,time-based
"INSERT INTO logs (event, user_id) VALUES ('login', 46);",safe,55,1,False,2,1,False,False,False,none
SELECT email FROM customers WHERE customer_id = 42;,safe,51,3,False,0,1,False,False,False,none
SELECT * FROM logs WHERE action = 'login' AND user_id = 17 OR (SELECT COUNT(*) FROM users) > 0; --,injection,98,7,True,2,1,False,False,False,other
DELETE FROM temp_data WHERE created_at < NOW() - INTERVAL '7 days';,safe,67,3,False,2,1,False,False,False,none
"SELECT * FROM accounts WHERE account_name = '' OR 1=CONVERT(INT, (SELECT password FROM users WHERE username = 'admin')); --",injection,123,7,True,4,1,False,False,False,other
SELECT * FROM login WHERE username = 'alice' AND password = ''; EXEC xp_cmdshell('dir'); --,injection,91,5,True,6,2,False,True,False,code execution
SELECT * FROM employees WHERE department = 'engineering' OR EXISTS(SELECT * FROM admin);,injection,88,7,False,2,1,False,False,False,subquery
SELECT email FROM customers WHERE customer_id = 49;,safe,51,3,False,0,1,False,False,False,none
"SELECT * FROM payments WHERE card_number = '1234' OR ASCII(SUBSTRING((SELECT TOP 1 password FROM users),1,1)) > 64; --",injection,118,6,True,2,1,False,False,False,other
DELETE FROM sessions WHERE user_id = 10;,safe,40,3,False,0,1,False,False,False,none
SELECT * FROM users WHERE username = 'bob' AND password = '4256';,safe,65,4,False,4,1,False,False,False,none
SELECT * FROM login WHERE username = 'admin' AND password = ''; EXEC xp_cmdshell('dir'); --,injection,91,5,True,6,2,False,True,False,code execution
SELECT COUNT(*) FROM orders WHERE product_id = 8;,safe,49,3,False,0,1,False,False,False,none
"SELECT * FROM payments WHERE card_number = '1234' OR ASCII(SUBSTRING((SELECT TOP 1 password FROM users),1,1)) > 64; --",injection,118,6,True,2,1,False,False,False,other
SELECT * FROM sessions WHERE session_id = 'alice'; WAITFOR DELAY '00:00:05'; --,injection,79,4,True,4,2,False,False,True,time-based
SELECT * FROM customers WHERE email = 'guest' AND password = '7744'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,112,6,True,7,3,False,True,False,data manipulation
UPDATE users SET last_login = NOW() WHERE id = 39;,safe,50,2,False,0,1,False,False,False,none
SELECT * FROM users WHERE username = 'carol'; DROP TABLE users; --,injection,66,4,True,2,2,False,False,False,data manipulation
SELECT * FROM users WHERE username = 'guest' AND password = '4225';,safe,67,4,False,4,1,False,False,False,none
UPDATE users SET last_login = NOW() WHERE id = 23;,safe,50,2,False,0,1,False,False,False,none
SELECT * FROM users WHERE username = 'bob' AND password = '2468' OR 'x'='x';,injection,76,5,False,8,1,False,False,False,other
SELECT * FROM orders WHERE user_id = 49 AND status = 'shipped' OR '' = '';,injection,74,5,False,6,1,False,False,False,other
DELETE FROM sessions WHERE user_id = 35;,safe,40,3,False,0,1,False,False,False,none
SELECT * FROM customers WHERE email = 'admin' AND password = '1236'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,112,6,True,7,3,False,True,False,data manipulation
SELECT * FROM customers WHERE email = 'alice' AND password = '8684'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,112,6,True,7,3,False,True,False,data manipulation
DELETE FROM temp_data WHERE created_at < NOW() - INTERVAL '7 days';,safe,67,3,False,2,1,False,False,False,none
SELECT * FROM products WHERE id = 65;,safe,37,3,False,0,1,False,False,False,none
"INSERT INTO logs (event, user_id) VALUES ('login', 17);",safe,55,1,False,2,1,False,False,False,none
SELECT * FROM orders WHERE user_id = 44 AND status = 'shipped' OR '' = '';,injection,74,5,False,6,1,False,False,False,other
SELECT * FROM products WHERE id = 18;,safe,37,3,False,0,1,False,False,False,none
SELECT * FROM logs WHERE action = 'login' AND user_id = 42 OR (SELECT COUNT(*) FROM users) > 0; --,injection,98,7,True,2,1,False,False,False,other
SELECT * FROM customers WHERE email = 'guest' AND password = '5939'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,112,6,True,7,3,False,True,False,data manipulation
SELECT * FROM login WHERE username = 'admin' AND password = ''; EXEC xp_cmdshell('dir'); --,injection,91,5,True,6,2,False,True,False,code execution
DELETE FROM sessions WHERE user_id = 46;,safe,40,3,False,0,1,False,False,False,none
DELETE FROM sessions WHERE user_id = 17;,safe,40,3,False,0,1,False,False,False,none
SELECT * FROM orders WHERE user_id = 5 AND status = 'shipped' OR '' = '';,injection,73,5,False,6,1,False,False,False,other
"INSERT INTO logs (event, user_id) VALUES ('login', 20);",safe,55,1,False,2,1,False,False,False,none
SELECT * FROM orders WHERE user_id = 37 AND status = 'shipped' OR '' = '';,injection,74,5,False,6,1,False,False,False,other
"INSERT INTO logs (event, user_id) VALUES ('login', 10);",safe,55,1,False,2,1,False,False,False,none
SELECT * FROM users WHERE username = 'bob'; DROP TABLE users; --,injection,64,4,True,2,2,False,False,False,data manipulation
SELECT * FROM orders WHERE user_id = 30 AND status = 'shipped' OR '' = '';,injection,74,5,False,6,1,False,False,False,other
SELECT * FROM users WHERE username = 'guest' AND password = '5980';,safe,67,4,False,4,1,False,False,False,none
SELECT * FROM customers WHERE email = 'carol' AND password = '4687'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,112,6,True,7,3,False,True,False,data manipulation
DELETE FROM temp_data WHERE created_at < NOW() - INTERVAL '7 days';,safe,67,3,False,2,1,False,False,False,none
SELECT email FROM customers WHERE customer_id = 2;,safe,50,3,False,0,1,False,False,False,none
SELECT * FROM users WHERE username = 'guest' AND password = '6036' OR 'x'='x';,injection,78,5,False,8,1,False,False,False,other
SELECT * FROM orders WHERE user_id = 36 AND status = 'shipped' OR '' = '';,injection,74,5,False,6,1,False,False,False,other
SELECT * FROM users WHERE username = 'admin'; DROP TABLE users; --,injection,66,4,True,2,2,False,False,False,data manipulation
UPDATE users SET last_login = NOW() WHERE id = 39;,safe,50,2,False,0,1,False,False,False,none
SELECT email FROM customers WHERE customer_id = 10;,safe,51,3,False,0,1,False,False,False,none
SELECT * FROM employees WHERE department = 'sales' OR EXISTS(SELECT * FROM admin);,injection,82,7,False,2,1,False,False,False,subquery
SELECT * FROM sessions WHERE session_id = 'admin'; WAITFOR DELAY '00:00:05'; --,injection,79,4,True,4,2,False,False,True,time-based
SELECT * FROM login WHERE username = 'carol' AND password = ''; EXEC xp_cmdshell('dir'); --,injection,91,5,True,6,2,False,True,False,code execution
DELETE FROM sessions WHERE user_id = 10;,safe,40,3,False,0,1,False,False,False,none
SELECT * FROM users WHERE username = 'admin'; DROP TABLE users; --,injection,66,4,True,2,2,False,False,False,data manipulation
DELETE FROM temp_data WHERE created_at < NOW() - INTERVAL '7 days';,safe,67,3,False,2,1,False,False,False,none
SELECT * FROM products WHERE id = 91;,safe,37,3,False,0,1,False,False,False,none
DELETE FROM sessions WHERE user_id = 11;,safe,40,3,False,0,1,False,False,False,none
SELECT * FROM users WHERE username = 'guest'; DROP TABLE users; --,injection,66,4,True,2,2,False,False,False,data manipulation
SELECT * FROM employees WHERE department = 'support';,safe,53,3,False,2,1,False,False,False,none
"SELECT * FROM payments WHERE card_number = '1234' OR ASCII(SUBSTRING((SELECT TOP 1 password FROM users),1,1)) > 64; --",injection,118,6,True,2,1,False,False,False,other
SELECT * FROM users WHERE username = 'carol' AND password = '6742' OR 'x'='x';,injection,78,5,False,8,1,False,False,False,other
SELECT * FROM orders WHERE user_id = 25 AND status = 'shipped' OR '' = '';,injection,74,5,False,6,1,False,False,False,other
SELECT * FROM sessions WHERE session_id = 'bob'; WAITFOR DELAY '00:00:05'; --,injection,77,4,True,4,2,False,False,True,time-based
"SELECT * FROM accounts WHERE account_name = '' OR 1=CONVERT(INT, (SELECT password FROM users WHERE username = 'admin')); --",injection,123,7,True,4,1,False,False,False,other
SELECT * FROM employees WHERE department = 'sales';,safe,51,3,False,2,1,False,False,False,none
SELECT * FROM customers WHERE email = 'alice' AND password = '3614'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,112,6,True,7,3,False,True,False,data manipulation
UPDATE inventory SET stock = stock - 1 WHERE product_id = 2;,safe,60,2,False,0,1,False,False,False,none
SELECT email FROM customers WHERE customer_id = 9;,safe,50,3,False,0,1,False,False,False,none
SELECT * FROM products WHERE id = 69;,safe,37,3,False,0,1,False,False,False,none
SELECT * FROM sessions WHERE session_id = 'guest'; WAITFOR DELAY '00:00:05'; --,injection,79,4,True,4,2,False,False,True,time-based
SELECT * FROM users WHERE username = 'carol' AND password = '8179' OR 'x'='x';,injection,78,5,False,8,1,False,False,False,other
UPDATE inventory SET stock = stock - 1 WHERE product_id = 36;,safe,61,2,False,0,1,False,False,False,none
DELETE FROM temp_data WHERE created_at < NOW() - INTERVAL '7 days';,safe,67,3,False,2,1,False,False,False,none
SELECT * FROM users WHERE username = 'admin' AND password = '8104';,safe,67,4,False,4,1,False,False,False,none
SELECT * FROM logs WHERE action = 'login' AND user_id = 8 OR (SELECT COUNT(*) FROM users) > 0; --,injection,97,7,True,2,1,False,False,False,other
"SELECT * FROM payments WHERE card_number = '1234' OR ASCII(SUBSTRING((SELECT TOP 1 password FROM users),1,1)) > 64; --",injection,118,6,True,2,1,False,False,False,other
SELECT * FROM orders WHERE user_id = 42 AND status = 'shipped' OR '' = '';,injection,74,5,False,6,1,False,False,False,other
UPDATE inventory SET stock = stock - 1 WHERE product_id = 7;,safe,60,2,False,0,1,False,False,False,none
SELECT * FROM employees WHERE department = 'marketing';,safe,55,3,False,2,1,False,False,False,none
SELECT COUNT(*) FROM orders WHERE product_id = 3;,safe,49,3,False,0,1,False,False,False,none
SELECT email FROM customers WHERE customer_id = 28;,safe,51,3,False,0,1,False,False,False,none
SELECT * FROM employees WHERE department = 'engineering';,safe,57,3,False,2,1,False,False,False,none
"SELECT * FROM accounts WHERE account_name = '' OR 1=CONVERT(INT, (SELECT password FROM users WHERE username = 'admin')); --",injection,123,7,True,4,1,False,False,False,other
UPDATE inventory SET stock = stock - 1 WHERE product_id = 63;,safe,61,2,False,0,1,False,False,False,none
SELECT * FROM login WHERE username = 'bob' AND password = ''; EXEC xp_cmdshell('dir'); --,injection,89,5,True,6,2,False,True,False,code execution
"INSERT INTO logs (event, user_id) VALUES ('login', 19);",safe,55,1,False,2,1,False,False,False,none
SELECT * FROM users WHERE username = 'bob' AND password = '1764' OR 'x'='x';,injection,76,5,False,8,1,False,False,False,other
DELETE FROM temp_data WHERE created_at < NOW() - INTERVAL '7 days';,safe,67,3,False,2,1,False,False,False,none
"SELECT * FROM accounts WHERE account_name = '' OR 1=CONVERT(INT, (SELECT password FROM users WHERE username = 'admin')); --",injection,123,7,True,4,1,False,False,False,other
SELECT * FROM customers WHERE email = 'carol' AND password = '1578'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,112,6,True,7,3,False,True,False,data manipulation
SELECT * FROM users WHERE username = 'guest'; DROP TABLE users; --,injection,66,4,True,2,2,False,False,False,data manipulation
SELECT * FROM customers WHERE email = 'guest' AND password = '5736'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,112,6,True,7,3,False,True,False,data manipulation
SELECT * FROM orders WHERE user_id = 37 AND status = 'shipped' OR '' = '';,injection,74,5,False,6,1,False,False,False,other
SELECT * FROM users WHERE username = 'carol'; DROP TABLE users; --,injection,66,4,True,2,2,False,False,False,data manipulation
DELETE FROM sessions WHERE user_id = 18;,safe,40,3,False,0,1,False,False,False,none
SELECT * FROM login WHERE username = 'admin' AND password = ''; EXEC xp_cmdshell('dir'); --,injection,91,5,True,6,2,False,True,False,code execution
SELECT * FROM login WHERE username = 'admin' AND password = ''; EXEC xp_cmdshell('dir'); --,injection,91,5,True,6,2,False,True,False,code execution
SELECT * FROM users WHERE username = 'bob' AND password = '3368';,safe,65,4,False,4,1,False,False,False,none
SELECT * FROM orders WHERE user_id = 13 AND status = 'shipped' OR '' = '';,injection,74,5,False,6,1,False,False,False,other
UPDATE users SET last_login = NOW() WHERE id = 23;,safe,50,2,False,0,1,False,False,False,none
SELECT * FROM customers WHERE email = 'alice' AND password = '8941'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,112,6,True,7,3,False,True,False,data manipulation
SELECT * FROM customers WHERE email = 'alice' AND password = '4283'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,112,6,True,7,3,False,True,False,data manipulation
UPDATE inventory SET stock = stock - 1 WHERE product_id = 51;,safe,61,2,False,0,1,False,False,False,none
SELECT * FROM sessions WHERE session_id = 'admin'; WAITFOR DELAY '00:00:05'; --,injection,79,4,True,4,2,False,False,True,time-based
SELECT * FROM customers WHERE email = 'carol' AND password = '6005'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,112,6,True,7,3,False,True,False,data manipulation
DELETE FROM temp_data WHERE created_at < NOW() - INTERVAL '7 days';,safe,67,3,False,2,1,False,False,False,none
SELECT * FROM users WHERE username = 'admin' AND password = '2133';,safe,67,4,False,4,1,False,False,False,none
"INSERT INTO logs (event, user_id) VALUES ('login', 23);",safe,55,1,False,2,1,False,False,False,none
SELECT * FROM customers WHERE email = 'carol' AND password = '8611'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,112,6,True,7,3,False,True,False,data manipulation
DELETE FROM temp_data WHERE created_at < NOW() - INTERVAL '7 days';,safe,67,3,False,2,1,False,False,False,none
SELECT * FROM login WHERE username = 'carol' AND password = ''; EXEC xp_cmdshell('dir'); --,injection,91,5,True,6,2,False,True,False,code execution
SELECT * FROM employees WHERE department = 'sales' OR EXISTS(SELECT * FROM admin);,injection,82,7,False,2,1,False,False,False,subquery
SELECT COUNT(*) FROM orders WHERE product_id = 37;,safe,50,3,False,0,1,False,False,False,none
"SELECT * FROM accounts WHERE account_name = '' OR 1=CONVERT(INT, (SELECT password FROM users WHERE username = 'admin')); --",injection,123,7,True,4,1,False,False,False,other
SELECT * FROM employees WHERE department = 'marketing' OR EXISTS(SELECT * FROM admin);,injection,86,7,False,2,1,False,False,False,subquery
SELECT * FROM sessions WHERE session_id = 'guest'; WAITFOR DELAY '00:00:05'; --,injection,79,4,True,4,2,False,False,True,time-based
SELECT * FROM sessions WHERE session_id = 'alice'; WAITFOR DELAY '00:00:05'; --,injection,79,4,True,4,2,False,False,True,time-based
SELECT * FROM users WHERE username = 'guest'; DROP TABLE users; --,injection,66,4,True,2,2,False,False,False,data manipulation
UPDATE inventory SET stock = stock - 1 WHERE product_id = 36;,safe,61,2,False,0,1,False,False,False,none
SELECT * FROM sessions WHERE session_id = 'alice'; WAITFOR DELAY '00:00:05'; --,injection,79,4,True,4,2,False,False,True,time-based
SELECT * FROM users WHERE username = 'guest'; DROP TABLE users; --,injection,66,4,True,2,2,False,False,False,data manipulation
SELECT * FROM logs WHERE action = 'login' AND user_id = 29 OR (SELECT COUNT(*) FROM users) > 0; --,injection,98,7,True,2,1,False,False,False,other
SELECT * FROM customers WHERE email = 'guest' AND password = '8779'; --'; EXEC sp_MSForEachTable 'DROP TABLE ?';,injection,112,6,True,7,3,False,True,False,data manipulation
SELECT * FROM employees WHERE department = 'hr' OR EXISTS(SELECT * FROM admin);,injection,79,7,False,2,1,False,False,False,subquery
"INSERT INTO logs (event, user_id) VALUES ('login', 27);",safe,55,1,False,2,1,False,False,False,none
SELECT * FROM orders WHERE user_id = 34 AND status = 'shipped' OR '' = '';,injection,74,5,False,6,1,False,False,False,other
UPDATE users SET last_login = NOW() WHERE id = 13;,safe,50,2,False,0,1,False,False,False,none
SELECT * FROM login WHERE username = 'admin' AND password = ''; EXEC xp_cmdshell('dir'); --,injection,91,5,True,6,2,False,True,False,code execution
UPDATE users SET last_login = NOW() WHERE id = 2;,safe,49,2,False,0,1,False,False,False,none
DELETE FROM sessions WHERE user_id = 46;,safe,40,3,False,0,1,False,False,False,none
SELECT * FROM products WHERE id = 60;,safe,37,3,False,0,1,False,False,False,none
DELETE FROM sessions WHERE user_id = 18;,safe,40,3,False,0,1,False,False,False,none
DELETE FROM temp_data WHERE created_at < NOW() - INTERVAL '7 days';,safe,67,3,False,2,1,False,False,False,none
SELECT email FROM customers WHERE customer_id = 20;,safe,51,3,False,0,1,False,False,False,none
UPDATE inventory SET stock = stock - 1 WHERE product_id = 10;,safe,61,2,False,0,1,False,False,False,none
SELECT COUNT(*) FROM orders WHERE product_id = 30;,safe,50,3,False,0,1,False,False,False,none
SELECT * FROM employees WHERE department = 'marketing';,safe,55,3,False,2,1,False,False,False,none
